Season,S. No.,Home \ Away,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Position,Played,Won,Draw,Lost,Points,WinRate,LossRate,Performance
1946-47,6,Deportivo La Coruña,3–3,1–0,3–2,8–1,1–4,,1–0,3–1,2–2,1–1,2–2,1–1,0–0,0–0,,,,,,,,,13,26,5,8,13,23,0.19230769230769232,0.5,0.2948717948717949
1946-47,7,Español,0–3,4–1,0–1,5–0,2–0,3–1,,2–3,2–1,2–1,4–2,1–2,4–0,1–2,,,,,,,,,11,26,9,1,16,28,0.34615384615384615,0.6153846153846154,0.358974358974359
1946-47,8,Murcia,2–4,1–2,0–1,2–0,0–2,1–0,1–2,,0–0,5–4,1–1,0–0,1–1,1–0,,,,,,,,,12,26,6,7,13,25,0.23076923076923078,0.5,0.32051282051282054
1946-47,9,Oviedo,3–0,4–0,2–3,4–1,2–0,3–1,4–0,3–0,,3–2,0–0,0–1,4–2,4–1,,,,,,,,,8,26,10,7,9,37,0.38461538461538464,0.34615384615384615,0.47435897435897434
1946-47,10,Real Gijón,1–0,1–2,3–1,4–0,3–0,2–0,1–1,4–1,1–1,,2–1,3–1,1–4,4–1,,,,,,,,,10,26,10,5,11,35,0.38461538461538464,0.4230769230769231,0.44871794871794873
1946-47,11,Real Madrid,3–6,1–2,2–1,7–4,3–3,5–0,2–0,5–0,2–0,4–0,,1–3,3–0,2–4,,,,,,,,,7,26,11,5,10,38,0.4230769230769231,0.38461538461538464,0.48717948717948717
1946-47,12,Sabadell,1–1,1–1,1–4,4–1,2–0,3–0,3–1,1–1,1–1,2–2,3–3,,3–1,3–0,,,,,,,,,5,26,11,8,7,41,0.4230769230769231,0.2692307692307692,0.5256410256410257
1946-47,13,Sevilla,2–2,1–2,3–1,4–2,2–0,4–0,3–1,1–1,2–1,5–2,5–0,4–0,,3–1,,,,,,,,,6,26,12,5,9,41,0.46153846153846156,0.34615384615384615,0.5256410256410257
1946-47,14,Valencia,1–0,0–2,4–0,3–0,2–1,3–0,3–2,1–2,4–1,6–0,4–1,1–0,4–1,,,,,,,,,,1,26,16,2,8,50,0.6153846153846154,0.3076923076923077,0.6410256410256411
1945-46,1,Alcoyano,,3–1,3–2,3–3,3–1,4–2,1–1,3–1,1–0,1–1,4–1,1–3,1–2,1–2,,,,,,,,,13,26,7,5,14,26,0.2692307692307692,0.5384615384615384,0.3333333333333333
1945-46,2,Atlético Aviación,2–0,,1–0,2–0,4–0,3–2,7–3,5–2,0–0,2–2,2–0,3–1,2–1,0–0,,,,,,,,,7,26,10,6,10,36,0.38461538461538464,0.38461538461538464,0.46153846153846156
1945-46,3,Atlético Bilbao,2–0,1–2,,2–0,7–1,2–1,3–1,6–0,6–1,2–4,2–3,3–2,4–3,2–2,,,,,,,,,3,26,14,5,7,47,0.5384615384615384,0.2692307692307692,0.6025641025641025
1945-46,4,Barcelona,2–0,2–1,0–6,,4–0,3–1,1–0,5–3,1–1,4–0,2–0,1–0,1–1,1–1,,,,,,,,,2,26,14,7,5,49,0.5384615384615384,0.19230769230769232,0.6282051282051282
1945-46,5,Castellón,2–1,2–1,4–0,1–1,,2–1,4–1,2–1,3–0,1–1,2–0,0–3,2–2,1–0,,,,,,,,,8,26,11,4,11,37,0.4230769230769231,0.4230769230769231,0.47435897435897434
1945-46,6,Celta,6–1,6–1,1–2,1–5,4–0,,4–1,4–2,1–1,3–2,2–3,3–0,4–0,1–1,,,,,,,,,10,26,9,3,14,30,0.34615384615384615,0.5384615384615384,0.38461538461538464
1945-46,7,Español,2–1,4–3,1–5,0–2,4–1,4–1,,5–2,0–1,1–2,2–2,1–1,1–1,4–0,,,,,,,,,12,26,6,7,13,25,0.23076923076923078,0.5,0.32051282051282054
1945-46,8,Hércules,1–0,3–2,0–0,0–0,1–2,1–4,0–0,,2–0,0–3,2–1,2–3,1–2,2–1,,,,,,,,,14,26,5,5,16,20,0.19230769230769232,0.6153846153846154,0.2564102564102564
1945-46,9,Murcia,2–3,0–0,0–0,0–2,2–3,1–0,2–2,1–1,,0–3,1–0,1–0,1–1,2–2,,,,,,,,,11,26,5,10,11,25,0.19230769230769232,0.4230769230769231,0.32051282051282054
1945-46,10,Oviedo,3–2,3–3,1–2,1–1,4–2,1–0,1–0,2–0,0–0,,2–2,1–1,1–1,3–0,,,,,,,,,5,26,10,10,6,40,0.38461538461538464,0.23076923076923078,0.5128205128205128
1945-46,11,Real Gijón,1–1,3–2,0–0,2–0,2–0,2–1,4–1,2–0,0–2,1–0,,1–1,1–2,1–2,,,,,,,,,9,26,9,7,10,34,0.34615384615384615,0.38461538461538464,0.4358974358974359
1945-46,12,Real Madrid,1–0,2–1,1–1,3–2,4–0,6–0,0–0,2–0,3–1,3–1,2–2,,1–1,1–1,,,,,,,,,4,26,11,9,6,42,0.4230769230769231,0.23076923076923078,0.5384615384615384
1945-46,13,Sevilla,4–2,3–0,4–2,2–3,3–2,3–3,1–0,2–1,3–1,3–0,3–2,2–1,,3–0,,,,,,,,,1,26,14,8,4,50,0.5384615384615384,0.15384615384615385,0.6410256410256411
1945-46,14,Valencia,6–1,6–1,1–2,0–1,2–0,5–1,3–2,2–2,2–0,2–2,1–1,1–1,1–0,,,,,,,,,,6,26,9,10,7,37,0.34615384615384615,0.2692307692307692,0.47435897435897434
1944-45,1,Atlético Aviación,,1–0,1–1,4–0,1–1,3–1,1–1,4–3,4–3,2–0,0–1,2–1,3–1,4–1,,,,,,,,,3,26,13,5,8,44,0.5,0.3076923076923077,0.5641025641025641
1944-45,2,Atlético Bilbao,0–1,,4–1,1–3,5–2,3–0,4–1,5–1,0–1,0–1,2–1,4–1,4–0,2–2,,,,,,,,,6,26,14,2,10,44,0.5384615384615384,0.38461538461538464,0.5641025641025641
1944-45,3,Barcelona,2–2,5–2,,3–1,3–0,1–0,4–2,1–0,0–1,2–0,5–0,2–1,3–1,1–0,,,,,,,,,1,26,17,5,4,56,0.6538461538461539,0.15384615384615385,0.717948717948718
1944-45,4,Castellón,2–3,1–0,0–1,,4–0,2–0,2–0,2–1,5–3,3–0,0–3,8–0,2–2,0–0,,,,,,,,,8,26,10,4,12,34,0.38461538461538464,0.46153846153846156,0.4358974358974359
1944-45,5,Deportivo La Coruña,4–1,1–2,1–2,1–1,,3–2,1–1,3–1,4–1,2–2,2–2,1–2,1–0,2–3,,,,,,,,,14,26,5,7,14,22,0.19230769230769232,0.5384615384615384,0.28205128205128205
1944-45,6,Español,0–3,2–3,1–1,5–1,7–1,,7–2,1–0,3–0,0–0,2–0,1–3,2–1,0–2,,,,,,,,,9,26,10,3,13,33,0.38461538461538464,0.5,0.4230769230769231
1944-45,7,Granada,2–1,2–3,1–2,0–2,3–0,2–0,,1–1,5–1,0–0,0–1,5–0,3–1,2–1,,,,,,,,,12,26,7,5,14,26,0.2692307692307692,0.5384615384615384,0.3333333333333333
1944-45,8,Murcia,0–0,2–2,1–1,2–0,1–0,1–2,2–0,,5–1,2–2,3–5,2–0,3–1,2–1,,,,,,,,,11,26,7,5,14,26,0.2692307692307692,0.5384615384615384,0.3333333333333333
1944-45,9,Oviedo,3–2,2–0,6–0,2–0,2–2,1–0,1–1,3–2,,2–1,4–0,6–2,2–0,2–0,,,,,,,,,4,26,13,5,8,44,0.5,0.3076923076923077,0.5641025641025641
1944-45,10,Real Gijón,2–2,0–2,2–5,4–0,3–3,0–1,3–1,4–1,6–0,,0–1,1–0,3–1,4–2,,,,,,,,,7,26,9,6,11,33,0.34615384615384615,0.4230769230769231,0.4230769230769231
1944-45,11,Real Madrid,3–1,4–1,1–0,2–1,6–0,3–0,6–2,2–1,4–1,4–1,,8–0,5–0,1–1,,,,,,,,,2,26,18,2,6,56,0.6923076923076923,0.23076923076923078,0.717948717948718
1944-45,12,Sabadell,0–1,1–2,0–1,1–1,2–1,0–6,3–2,4–0,0–0,2–2,3–2,,2–3,1–1,,,,,,,,,13,26,6,5,15,23,0.23076923076923078,0.5769230769230769,0.2948717948717949
1944-45,13,Sevilla,4–1,2–3,0–0,8–1,3–0,1–1,4–1,4–0,1–1,6–0,1–2,4–0,,3–2,,,,,,,,,10,26,9,4,13,31,0.34615384615384615,0.5,0.3974358974358974
1944-45,14,Valencia,5–0,3–0,2–3,4–1,2–0,2–0,4–0,9–3,1–1,4–1,4–1,1–1,4–0,,,,,,,,,,5,26,12,6,8,42,0.46153846153846156,0.3076923076923077,0.5384615384615384
1943-44,1,Atlético Bilbao,,0–0,2–1,2–3,5–1,3–1,1–1,2–2,1–2,2–1,3–0,4–3,0–1,2–1,,,,,,,,,2,26,15,4,7,49,0.5769230769230769,0.2692307692307692,0.6282051282051282
1943-44,2,Atlético Aviación,2–1,,2–1,2–0,7–0,4–2,3–1,0–0,3–1,1–2,6–2,4–3,2–2,4–2,,,,,,,,,10,26,10,5,11,35,0.38461538461538464,0.4230769230769231,0.44871794871794873
1943-44,3,Barcelona,3–3,4–5,,1–0,3–0,3–3,1–3,7–2,1–2,3–1,2–0,5–0,1–1,1–1,,,,,,,,,6,26,10,8,8,38,0.38461538461538464,0.3076923076923077,0.48717948717948717
1943-44,4,Castellón,5–0,3–2,3–0,,2–0,2–1,2–1,0–2,2–1,2–0,3–0,4–0,1–2,1–1,,,,,,,,,5,26,13,3,10,42,0.5,0.38461538461538464,0.5384615384615384
1943-44,5,Celta,3–2,1–2,2–2,2–2,,0–0,0–1,0–1,1–0,0–5,0–2,0–3,1–5,1–2,,,,,,,,,14,26,2,5,19,11,0.07692307692307693,0.7307692307692307,0.14102564102564102
1943-44,6,Deportivo La Coruña,1–0,2–4,1–4,3–2,3–2,,3–1,2–2,2–2,1–0,0–0,0–4,0–3,0–2,,,,,,,,,12,26,6,7,13,25,0.23076923076923078,0.5,0.32051282051282054
1943-44,7,Español,4–0,1–2,1–3,0–1,1–1,7–0,,2–0,1–1,2–0,2–2,5–1,3–2,0–3,,,,,,,,,11,26,9,5,12,32,0.34615384615384615,0.46153846153846156,0.41025641025641024
1943-44,8,Granada,0–0,2–3,2–0,1–1,5–2,2–2,4–0,,2–2,5–2,1–0,2–1,2–1,1–3,,,,,,,,,8,26,9,8,9,35,0.34615384615384615,0.34615384615384615,0.44871794871794873
1943-44,9,Real Madrid,1–3,3–2,0–1,3–0,3–0,3–0,3–1,2–2,,2–1,4–1,4–1,3–5,1–1,,,,,,,,,4,26,12,5,9,41,0.46153846153846156,0.34615384615384615,0.5256410256410257
1943-44,10,Oviedo,1–2,4–1,3–3,3–0,5–1,4–2,6–1,2–0,2–0,,3–3,9–2,5–1,2–1,,,,,,,,,7,26,11,6,9,39,0.4230769230769231,0.34615384615384615,0.5
1943-44,11,Real Sociedad,1–4,2–0,1–1,2–3,1–1,2–3,6–1,3–0,2–1,2–2,,0–1,0–0,2–4,,,,,,,,,13,26,5,7,14,22,0.19230769230769232,0.5384615384615384,0.28205128205128205
1943-44,12,Sabadell,5–1,4–1,3–2,1–0,4–0,3–1,0–0,2–0,1–3,3–3,2–0,,1–1,2–4,,,,,,,,,9,26,11,3,12,36,0.4230769230769231,0.46153846153846156,0.46153846153846156
1943-44,13,Sevilla,3–0,4–2,2–2,4–0,4–3,2–2,1–2,4–1,1–1,2–2,4–0,5–2,,0–2,,,,,,,,,3,26,12,8,6,44,0.46153846153846156,0.23076923076923078,0.5641025641025641
1943-44,14,Valencia,5–4,2–2,3–4,2–0,5–1,3–0,4–0,3–0,1–0,5–3,3–0,2–1,8–0,,,,,,,,,,1,26,18,4,4,58,0.6923076923076923,0.15384615384615385,0.7435897435897436
1942-43,1,Atlético Aviación,,2–3,4–0,5–1,3–1,1–2,2–3,7–1,3–0,5–1,2–1,1–0,1–1,3–1,,,,,,,,,8,26,11,5,10,38,0.4230769230769231,0.38461538461538464,0.48717948717948717
1942-43,2,Atlético Bilbao,5–2,,5–2,4–0,4–0,0–2,2–1,4–1,8–1,5–0,3–2,5–0,5–1,2–0,,,,,,,,,1,26,16,4,6,52,0.6153846153846154,0.23076923076923078,0.6666666666666666
1942-43,3,Barcelona,5–0,1–3,,7–1,8–0,1–1,2–0,5–2,6–2,4–1,5–5,3–1,1–2,4–1,,,,,,,,,3,26,14,4,8,46,0.5384615384615384,0.3076923076923077,0.5897435897435898
1942-43,4,Castellón,0–0,2–2,0–2,,5–0,3–1,2–1,3–2,3–0,3–0,3–0,2–0,1–0,3–0,,,,,,,,,4,26,13,5,8,44,0.5,0.3076923076923077,0.5641025641025641
1942-43,5,Celta,1–1,4–1,4–2,5–0,,0–1,3–2,8–3,2–0,4–2,2–1,1–0,2–0,3–2,,,,,,,,,5,26,14,2,10,44,0.5384615384615384,0.38461538461538464,0.5641025641025641
1942-43,6,Deportivo de La Coruña,0–0,2–0,2–2,0–1,3–1,,2–2,2–2,0–1,0–0,1–2,1–1,2–2,3–1,,,,,,,,,9,26,7,12,7,33,0.2692307692307692,0.2692307692307692,0.4230769230769231
1942-43,7,Español,4–2,2–2,1–3,3–1,1–0,1–1,,2–1,5–0,3–0,4–2,1–2,1–0,0–0,,,,,,,,,12,26,9,4,13,31,0.34615384615384615,0.5,0.3974358974358974
1942-43,8,Granada,3–1,1–3,2–3,1–2,3–1,1–2,2–2,,3–1,6–2,1–0,4–3,4–2,1–1,,,,,,,,,11,26,9,6,11,33,0.34615384615384615,0.4230769230769231,0.4230769230769231
1942-43,9,Oviedo,2–1,3–3,3–2,4–1,1–0,1–1,3–1,4–2,,4–1,3–4,4–4,4–1,1–1,,,,,,,,,6,26,12,4,10,40,0.46153846153846156,0.38461538461538464,0.5128205128205128
1942-43,10,Real Betis,1–2,3–1,0–2,1–1,1–3,1–1,1–1,0–1,1–2,,3–1,2–5,2–2,1–1,,,,,,,,,14,26,2,6,18,12,0.07692307692307693,0.6923076923076923,0.15384615384615385
1942-43,11,Real Madrid,1–3,2–0,3–0,0–0,2–4,4–3,7–0,2–2,2–1,3–1,,1–1,0–1,2–1,,,,,,,,,10,26,10,5,11,35,0.38461538461538464,0.4230769230769231,0.44871794871794873
1942-43,12,Sevilla,2–1,2–0,4–2,4–1,2–0,2–1,4–2,3–2,0–5,5–0,3–0,,3–1,6–0,,,,,,,,,2,26,15,3,8,48,0.5769230769230769,0.3076923076923077,0.6153846153846154
1942-43,13,Valencia,3–0,2–2,2–4,1–2,1–1,1–0,3–0,3–2,7–0,8–3,3–3,4–2,,7–0,,,,,,,,,7,26,10,7,9,37,0.38461538461538464,0.34615384615384615,0.47435897435897434
1942-43,14,Zaragoza,2–2,0–1,1–1,0–0,1–2,1–1,4–2,2–3,1–3,1–0,0–2,3–4,0–0,,,,,,,,,,13,26,2,9,15,15,0.07692307692307693,0.5769230769230769,0.19230769230769232
1941-42,1,Alicante,,2–2,3–1,3–1,0–1,1–3,4–2,1–1,2–2,1–2,4–1,3–1,1–0,1–3,,,,,,,,,13,26,6,5,15,23,0.23076923076923078,0.5769230769230769,0.2948717948717949
1941-42,2,Atlético Aviación,5–1,,2–2,5–4,4–4,2–0,0–0,2–0,3–0,2–0,0–2,4–1,0–0,3–0,,,,,,,,,3,26,14,5,7,47,0.5384615384615384,0.2692307692307692,0.6025641025641025
1941-42,3,Atlético Bilbao,2–2,6–0,,6–3,2–2,10–0,0–0,2–4,1–0,1–0,2–0,4–1,1–1,2–3,,,,,,,,,7,26,10,7,9,37,0.38461538461538464,0.34615384615384615,0.47435897435897434
1941-42,4,Barcelona,4–4,5–1,1–2,,3–1,0–2,2–1,1–2,4–0,0–2,6–3,4–2,6–2,2–4,,,,,,,,,12,26,8,3,15,27,0.3076923076923077,0.5769230769230769,0.34615384615384615
1941-42,5,Castellón,4–0,2–4,4–0,1–1,,0–3,1–0,2–0,3–2,0–3,4–0,5–0,1–1,2–2,,,,,,,,,8,26,10,6,10,36,0.38461538461538464,0.38461538461538464,0.46153846153846156
1941-42,6,Celta,4–1,0–2,3–0,1–0,1–2,,2–1,4–3,3–3,2–4,2–1,6–1,1–1,3–3,,,,,,,,,5,26,11,6,9,39,0.4230769230769231,0.34615384615384615,0.5
1941-42,7,Deportivo La Coruña,3–1,2–1,2–1,1–0,2–1,4–0,,2–0,1–4,1–0,1–0,3–0,2–1,0–3,,,,,,,,,4,26,12,4,10,40,0.46153846153846156,0.38461538461538464,0.5128205128205128
1941-42,8,Español,2–0,5–0,1–1,5–2,2–3,3–1,1–2,,1–1,0–0,1–1,8–0,3–1,0–1,,,,,,,,,9,26,10,6,10,36,0.38461538461538464,0.38461538461538464,0.46153846153846156
1941-42,9,Granada,7–2,0–1,1–3,6–0,7–3,1–1,4–1,4–0,,3–1,8–0,3–1,3–2,1–2,,,,,,,,,10,26,10,5,11,35,0.38461538461538464,0.4230769230769231,0.44871794871794873
1941-42,10,Real Madrid,2–1,4–1,3–2,4–3,9–1,2–3,3–0,1–1,5–2,,1–1,6–4,0–2,5–3,,,,,,,,,11,26,8,7,11,31,0.3076923076923077,0.4230769230769231,0.3974358974358974
1941-42,11,Oviedo,2–0,2–3,2–1,1–1,4–4,2–1,1–1,1–3,3–1,2–2,,3–1,4–0,1–1,,,,,,,,,2,26,14,5,7,47,0.5384615384615384,0.2692307692307692,0.6025641025641025
1941-42,12,Real Sociedad,2–1,1–2,0–1,2–0,3–0,2–2,3–2,1–2,1–1,2–3,0–3,,2–1,0–3,,,,,,,,,14,26,5,2,19,17,0.19230769230769232,0.7307692307692307,0.21794871794871795
1941-42,13,Sevilla,7–2,1–0,2–1,1–2,4–1,2–2,2–2,6–0,3–0,2–2,10–0,1–0,,4–1,,,,,,,,,6,26,10,7,9,37,0.38461538461538464,0.34615384615384615,0.47435897435897434
1941-42,14,Valencia,7–1,0–1,1–1,4–2,6–2,7–3,2–0,2–1,5–0,3–1,5–2,6–0,8–1,,,,,,,,,,1,26,18,4,4,58,0.6923076923076923,0.15384615384615385,0.7435897435897436
1940-41,1,Atlético Aviación,,1–1,4–4,5–4,5–3,7–1,3–1,6–0,3–0,3–1,2–2,3–1,,,,,,,,,,,1,22,13,7,2,46,0.5909090909090909,0.09090909090909091,0.696969696969697
1940-41,2,Atlético Bilbao,0–5,,3–1,4–1,6–2,4–0,3–1,6–1,2–1,2–1,5–0,0–0,,,,,,,,,,,2,22,13,5,4,44,0.5909090909090909,0.18181818181818182,0.6666666666666666
1940-41,3,Barcelona,2–4,1–0,,2–0,2–3,3–2,3–0,3–0,7–0,4–0,4–3,2–0,,,,,,,,,,,4,22,13,1,8,40,0.5909090909090909,0.36363636363636365,0.6060606060606061
1940-41,4,Celta,0–2,1–2,1–4,,7–1,2–0,1–2,5–1,3–1,2–2,6–2,1–0,,,,,,,,,,,10,22,7,1,14,22,0.3181818181818182,0.6363636363636364,0.3333333333333333
1940-41,5,Español,2–3,1–1,3–1,4–1,,1–2,3–2,2–1,5–0,4–3,2–1,3–0,,,,,,,,,,,7,22,10,2,10,32,0.45454545454545453,0.45454545454545453,0.48484848484848486
1940-41,6,Hércules,3–3,1–0,1–3,0–5,3–2,,0–3,4–0,3–0,1–0,0–2,1–0,,,,,,,,,,,9,22,7,2,13,23,0.3181818181818182,0.5909090909090909,0.3484848484848485
1940-41,7,Real Madrid,1–4,0–1,1–2,3–1,4–1,5–3,,2–1,1–0,4–1,6–1,6–0,,,,,,,,,,,12,22,5,3,14,18,0.22727272727272727,0.6363636363636364,0.2727272727272727
1940-41,8,Murcia,1–1,1–3,1–3,3–0,3–1,0–0,3–1,,1–2,2–1,2–5,1–0,,,,,,,,,,,8,22,7,2,13,23,0.3181818181818182,0.5909090909090909,0.3484848484848485
1940-41,9,Oviedo,4–3,0–2,3–1,4–3,3–3,6–0,0–2,2–1,,0–4,3–3,5–4,,,,,,,,,,,6,22,11,2,9,35,0.5,0.4090909090909091,0.5303030303030303
1940-41,10,Sevilla,1–1,1–0,11–1,3–0,3–1,8–3,5–4,3–2,4–1,,10–3,4–1,,,,,,,,,,,5,22,12,2,8,38,0.5454545454545454,0.36363636363636365,0.5757575757575758
1940-41,11,Valencia,3–1,2–2,3–1,5–1,3–0,6–0,1–1,3–3,5–1,4–1,,1–0,,,,,,,,,,,3,22,11,5,6,38,0.5,0.2727272727272727,0.5757575757575758
1940-41,12,Zaragoza,1–1,2–2,2–1,1–0,0–3,7–0,1–1,2–1,3–0,0–3,1–2,,,,,,,,,,,,11,22,5,4,13,19,0.22727272727272727,0.5909090909090909,0.2878787878787879
1939-40,1,Athletic Aviación,,3–1,3–0,0–0,4–1,2–0,2–1,2–1,2–1,4–2,2–0,5–1,,,,,,,,,,,1,22,14,1,7,43,0.6363636363636364,0.3181818181818182,0.6515151515151515
1939-40,2,Athletic Bilbao,1–3,,7–5,6–1,4–1,4–0,4–1,3–1,3–2,3–4,1–2,1–1,,,,,,,,,,,3,22,11,4,7,37,0.5,0.3181818181818182,0.5606060606060606
1939-40,3,Barcelona,1–2,0–2,,2–0,2–0,0–1,0–0,0–0,3–1,1–2,4–1,2–1,,,,,,,,,,,9,22,8,3,11,27,0.36363636363636365,0.5,0.4090909090909091
1939-40,4,Betis,1–2,0–0,3–0,,2–0,2–0,4–3,0–4,2–1,3–2,0–3,0–0,,,,,,,,,,,11,22,6,4,12,22,0.2727272727272727,0.5454545454545454,0.3333333333333333
1939-40,5,Celta,1–0,2–4,1–2,4–2,,2–0,4–0,2–3,5–1,3–3,2–1,5–1,,,,,,,,,,,10,22,9,1,12,28,0.4090909090909091,0.5454545454545454,0.42424242424242425
1939-40,6,Español,2–0,3–4,1–1,5–0,4–1,,3–3,5–4,3–1,2–1,2–3,2–0,,,,,,,,,,,5,22,11,2,9,35,0.5,0.4090909090909091,0.5303030303030303
1939-40,7,Hércules,4–1,1–0,1–2,3–0,6–1,1–2,,0–2,3–1,3–3,2–1,5–1,,,,,,,,,,,6,22,9,5,8,32,0.4090909090909091,0.36363636363636365,0.48484848484848486
1939-40,8,Madrid,2–0,4–1,2–1,3–0,2–1,3–1,0–1,,3–2,1–3,2–1,5–1,,,,,,,,,,,4,22,12,1,9,37,0.5454545454545454,0.4090909090909091,0.5606060606060606
1939-40,9,Racing Santander,0–2,3–0,2–3,4–2,6–2,2–3,0–1,2–1,,3–3,2–1,1–0,,,,,,,,,,,12,22,6,1,15,19,0.2727272727272727,0.6818181818181818,0.2878787878787879
1939-40,10,Sevilla,4–1,3–3,2–1,4–3,1–4,4–0,1–1,3–2,8–2,,4–2,3–0,,,,,,,,,,,2,22,11,6,5,39,0.5,0.22727272727272727,0.5909090909090909
1939-40,11,Valencia,1–0,3–4,3–1,4–0,1–1,1–3,2–1,3–1,4–0,2–2,,0–0,,,,,,,,,,,8,22,9,3,10,30,0.4090909090909091,0.45454545454545453,0.45454545454545453
1939-40,12,Zaragoza,4–3,1–1,3–1,1–1,3–2,4–1,0–0,3–1,3–0,1–1,1–0,,,,,,,,,,,,7,22,7,7,8,28,0.3181818181818182,0.36363636363636365,0.42424242424242425
1935-36,1,Athletic Bilbao,,3–1,5–2,7–0,5–2,5–3,1–0,2–0,4–2,6–1,4–1,3–2,,,,,,,,,,,1,22,14,3,5,45,0.6363636363636364,0.22727272727272727,0.6818181818181818
1935-36,2,Athletic Madrid,1–2,,0–3,5–0,3–2,1–2,2–3,2–0,3–0,1–0,2–3,2–2,,,,,,,,,,,11,22,6,3,13,21,0.2727272727272727,0.5909090909090909,0.3181818181818182
1935-36,3,Barcelona,2–0,5–1,,1–0,2–0,1–0,0–3,5–0,5–2,2–3,4–1,0–0,,,,,,,,,,,5,22,11,2,9,35,0.5,0.4090909090909091,0.5303030303030303
1935-36,4,Betis,1–2,3–0,2–0,,3–0,1–1,1–1,5–1,1–2,3–1,1–0,3–0,,,,,,,,,,,7,22,9,2,11,29,0.4090909090909091,0.5,0.4393939393939394
1935-36,5,Español,2–0,2–3,1–0,3–0,,3–2,3–0,3–0,1–5,1–1,6–1,3–2,,,,,,,,,,,10,22,6,4,12,22,0.2727272727272727,0.5454545454545454,0.3333333333333333
1935-36,6,Hércules,1–0,2–1,2–2,3–0,2–1,,0–1,1–0,1–0,4–1,2–1,2–0,,,,,,,,,,,6,22,11,2,9,35,0.5,0.4090909090909091,0.5303030303030303
1935-36,7,Madrid,2–2,3–1,3–0,5–1,6–0,5–1,,6–2,5–4,2–4,3–3,4–1,,,,,,,,,,,2,22,13,3,6,42,0.5909090909090909,0.2727272727272727,0.6363636363636364
1935-36,8,Osasuna,4–1,4–0,0–1,6–0,6–1,3–0,1–4,,4–5,3–1,6–3,2–3,,,,,,,,,,,12,22,7,0,15,21,0.3181818181818182,0.6818181818181818,0.3181818181818182
1935-36,9,Oviedo,3–3,4–1,2–1,2–3,5–2,5–2,1–0,5–2,,4–2,0–0,4–3,,,,,,,,,,,3,22,12,4,6,40,0.5454545454545454,0.2727272727272727,0.6060606060606061
1935-36,10,Racing Santander,2–1,5–2,4–0,5–1,4–0,4–2,4–3,3–1,2–6,,3–0,6–2,,,,,,,,,,,4,22,13,1,8,40,0.5909090909090909,0.36363636363636365,0.6060606060606061
1935-36,11,Sevilla,0–2,1–1,2–1,1–0,2–0,1–2,2–1,2–0,1–1,1–2,,1–2,,,,,,,,,,,9,22,8,1,13,25,0.36363636363636365,0.5909090909090909,0.3787878787878788
1935-36,12,Valencia,1–1,1–1,1–2,0–2,1–0,5–2,1–2,2–1,1–1,1–0,5–0,,,,,,,,,,,,8,22,7,5,10,26,0.3181818181818182,0.45454545454545453,0.3939393939393939
1934-35,1,Arenas,,0–1,3–1,2–2,0–3,0–1,0–4,1–2,1–2,0–1,3–2,2–1,,,,,,,,,,,12,22,3,3,16,12,0.13636363636363635,0.7272727272727273,0.18181818181818182
1934-35,2,Athletic Bilbao,8–0,,5–2,3–5,0–0,7–0,1–2,4–1,4–0,4–2,4–0,4–1,,,,,,,,,,,4,22,11,3,8,36,0.5,0.36363636363636365,0.5454545454545454
1934-35,3,Athletic Madrid,3–1,2–2,,1–3,4–2,3–1,5–2,2–2,3–3,3–1,1–0,5–2,,,,,,,,,,,7,22,8,5,9,29,0.36363636363636365,0.4090909090909091,0.4393939393939394
1934-35,4,Barcelona,4–0,2–2,0–0,,4–0,4–0,2–2,5–0,5–2,1–1,2–3,5–2,,,,,,,,,,,6,22,9,6,7,33,0.4090909090909091,0.3181818181818182,0.5
1934-35,5,Betis,0–0,1–0,2–0,2–1,,1–0,5–0,1–0,2–1,3–1,2–2,3–0,,,,,,,,,,,1,22,15,4,3,49,0.6818181818181818,0.13636363636363635,0.7424242424242424
1934-35,6,Donostia,3–2,0–4,4–0,2–1,2–4,,1–4,1–2,3–5,2–3,0–0,3–1,,,,,,,,,,,11,22,5,1,16,16,0.22727272727272727,0.7272727272727273,0.24242424242424243
1934-35,7,Español,2–0,1–3,0–2,4–1,1–1,4–1,,2–4,3–2,4–2,1–4,1–2,,,,,,,,,,,8,22,9,2,11,29,0.4090909090909091,0.5,0.4393939393939394
1934-35,8,Madrid,6–1,5–2,2–0,8–2,0–1,2–0,7–2,,2–1,3–2,3–1,3–0,,,,,,,,,,,3,22,12,2,8,38,0.5454545454545454,0.36363636363636365,0.5757575757575758
1934-35,9,Oviedo,4–1,3–2,2–1,4–3,0–1,4–0,8–3,0–3,,3–0,4–2,4–4,,,,,,,,,,,10,22,7,3,12,24,0.3181818181818182,0.5454545454545454,0.36363636363636365
1934-35,10,Racing Santander,0–0,6–0,2–2,2–3,0–5,2–1,2–1,1–2,1–3,,3–2,5–0,,,,,,,,,,,2,22,16,1,5,49,0.7272727272727273,0.22727272727272727,0.7424242424242424
1934-35,11,Sevilla,4–0,3–0,4–0,3–1,0–3,7–2,5–1,1–3,3–1,2–0,,4–2,,,,,,,,,,,5,22,11,2,9,35,0.5,0.4090909090909091,0.5303030303030303
